complaint_id,product_category,chunk
10001645,Savings Account,synchrony charged me a monthly maintenance fee on my ally savings that was supposed to be free when i called to dispute they said i did not maintain the minimum balance of even though my statements show i was always above that threshold i want all fees refunded and a guarantee this will not happen
10001645,Savings Account,refunded and a guarantee this will not happen again
10000510,Credit Card,someone made fraudulent purchases on my chase sapphire card totaling i reported this to american express immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a
10000510,Credit Card,a police report and have evidence that i was in a different state when these transactions occurred
10001411,Savings Account,ally bank charged me a monthly maintenance fee on my chase savings that was supposed to be free when i called to dispute they said i did not maintain the minimum balance of even though my statements show i was always above that threshold i want all fees refunded and a guarantee this will not happen
10001411,Savings Account,refunded and a guarantee this will not happen again
10000045,Credit Card,the rewards program on my capital one venture card was changed without notice capital one devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a baitandswitch tactic longtime customers should be
10000045,Credit Card,baitandswitch tactic longtime customers should be grandfathered into the original rewards program
10001585,Savings Account,synchrony closed my ally savings account without warning citing business reasons i had in the account and it took weeks to receive a cashiers check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account
10001287,Savings Account,my discover savings with chase was accessed by someone who changed my contact information and attempted to transfer out of my account when i reported this chase took weeks to investigate and temporarily restricted my access i am concerned about the security of their online banking platform and how
10001287,Savings Account,security of their online banking platform and how this person gained access
10001337,Savings Account,i opened a ally savings with ally bank because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for
10001337,Savings Account,i moved into this account specifically for the higher rate
10002024,Money Transfer,i sent via paypal through paypal to pay my landlord the money was deducted from my account but never received by the recipient it has been weeks and paypal has not been able to locate the funds or provide a refund i am now at risk of eviction because my rent appears unpaid
10002023,Money Transfer,i accidentally sent to the wrong person through venmo via western union i realized the error within minutes and immediately contacted them to cancel they said the transaction was already completed and they cannot reverse it they suggested i ask the recipient nicely to send it back this is an
10002023,Money Transfer,the recipient nicely to send it back this is an unacceptable response for such a large amount
10001407,Savings Account,my marcus savings with ally bank was accessed by someone who changed my contact information and attempted to transfer out of my account when i reported this ally bank took weeks to investigate and temporarily restricted my access i am concerned about the security of their online banking platform and
10001407,Savings Account,the security of their online banking platform and how this person gained access
10001577,Savings Account,i tried to withdraw from my synchrony savings at ally bank and was told my account was frozen pending a security review no one informed me of any issues beforehand i had bills due and no access to my own money for weeks the customer service was unhelpful and could not tell me when the review would
10001577,Savings Account,and could not tell me when the review would be completed
10000472,Credit Card,discover charged me a late fee on my amex gold card even though i made my payment on time my bank records show the payment was initiated days before the due date when i called to dispute they said the payment was received one day late due to processing time this is unacceptable i should not be
10000472,Credit Card,time this is unacceptable i should not be penalized for their slow processing system
10001413,Savings Account,i have been trying to reach discovers customer service about an issue with my discover savings for weeks wait times exceed minutes and i have been disconnected times after waiting when i finally got through the representative could not resolve my issue and told me to call back this level of service
10001413,Savings Account,and told me to call back this level of service is completely unacceptable for a bank holding my savings
10000209,Credit Card,someone made fraudulent purchases on my capital one venture card totaling i reported this to citibank immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a
10000209,Credit Card,a police report and have evidence that i was in a different state when these transactions occurred
10001243,Savings Account,discover charged me a monthly maintenance fee on my synchrony savings that was supposed to be free when i called to dispute they said i did not maintain the minimum balance of even though my statements show i was always above that threshold i want all fees refunded and a guarantee this will not
10001243,Savings Account,all fees refunded and a guarantee this will not happen again
10000508,Credit Card,someone made fraudulent purchases on my chase sapphire card totaling i reported this to american express immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a
10000508,Credit Card,a police report and have evidence that i was in a different state when these transactions occurred
10002038,Money Transfer,i sent via zelle through venmo to pay my landlord the money was deducted from my account but never received by the recipient it has been weeks and venmo has not been able to locate the funds or provide a refund i am now at risk of eviction because my rent appears unpaid
10000283,Credit Card,someone made fraudulent purchases on my amex gold card totaling i reported this to discover immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a different state
10000283,Credit Card,and have evidence that i was in a different state when these transactions occurred
10000483,Credit Card,the rewards program on my citi double cash card was changed without notice discover devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a baitandswitch tactic longtime customers should be grandfathered
10000483,Credit Card,tactic longtime customers should be grandfathered into the original rewards program
10002221,Money Transfer,my account was frozen by venmo after i made a paypal transfer of they claimed the transaction was flagged for suspicious activity but i was simply sending money to my family overseas which i do every month it took weeks to get my account unfrozen and i had to provide extensive documentation
10002221,Money Transfer,and i had to provide extensive documentation including pay stubs and tax returns
10000942,Personal Loan,i tried to make an extra payment on my upstart loan from goldman sachs to pay down the principal faster their system automatically applied it to future payments instead of the principal balance after calling times each representative gave me different instructions i am paying more interest than
10000942,Personal Loan,instructions i am paying more interest than necessary because they will not properly apply my payments
10001963,Money Transfer,zelle charged me a fee for a paypal transfer that was advertised as free the fee was hidden in the exchange rate markup and only visible after carefully comparing the rates the actual exchange rate applied was worse than the market rate this is deceptive and the total hidden cost was
10000621,Credit Card,citibank charged me a late fee on my amex gold card even though i made my payment on time my bank records show the payment was initiated days before the due date when i called to dispute they said the payment was received one day late due to processing time this is unacceptable i should not be
10000621,Credit Card,time this is unacceptable i should not be penalized for their slow processing system
10000931,Personal Loan,i took out a personal loan of with prosper through their prosper loan program the advertised rate was but after approval i was given the terms were buried in fine print and the loan officer rushed me through the signing process i am now paying per month which is more than what was originally quoted
10001392,Savings Account,goldman sachs charged me a monthly maintenance fee on my synchrony savings that was supposed to be free when i called to dispute they said i did not maintain the minimum balance of even though my statements show i was always above that threshold i want all fees refunded and a guarantee this will not
10001392,Savings Account,all fees refunded and a guarantee this will not happen again
10000434,Credit Card,i applied for the capital one venture card specifically for the point signup bonus i met all the spending requirements within the specified timeframe but american express has refused to credit my bonus points i have called times over the past months and each representative tells me something
10000434,Credit Card,months and each representative tells me something different i have all receipts and statements showing i qualified
