complaint_id,date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company,state,product_category
10001645,2023-06-12,Ally Savings,,Unauthorized access,Security breach,"Synchrony charged me a $50 monthly maintenance fee on my Ally Savings that was supposed to be free. When I called to dispute, they said I did not maintain the minimum balance of $1000, even though my statements show I was always above that threshold. I want all fees refunded and a guarantee this will not happen again.",Synchrony,CT,Savings Account
10000510,2024-01-10,Chase Sapphire,,Rewards not credited,Sign-up bonus not received,"Someone made 6 fraudulent purchases on my Chase Sapphire card totaling $20000. I reported this to American Express immediately and they opened an investigation. After 2 weeks, they denied my fraud claim saying the transactions appeared legitimate. I have filed a police report and have evidence that I was in a different state when these transactions occurred.",American Express,UT,Credit Card
10001411,2024-12-07,Chase Savings,,Unauthorized access,Security breach,"Ally Bank charged me a $100 monthly maintenance fee on my Chase Savings that was supposed to be free. When I called to dispute, they said I did not maintain the minimum balance of $1500, even though my statements show I was always above that threshold. I want all fees refunded and a guarantee this will not happen again.",Ally Bank,MD,Savings Account
10000045,2025-09-13,Capital One Venture,,Credit limit reduction,Reduced without notice,"The rewards program on my Capital One Venture card was changed without notice. Capital One devalued the points by nearly 24%, making the annual fee of $250 no longer worth it. I specifically chose this card for its rewards structure and feel this is a bait-and-switch tactic. Long-time customers should be grandfathered into the original rewards program.",Capital One,MA,Credit Card
10001585,2023-09-26,Ally Savings,,Account frozen,Frozen without warning,"Synchrony closed my Ally Savings account without warning, citing 'business reasons.' I had $1500 in the account and it took 2 weeks to receive a cashier's check. No explanation was ever provided for the closure. I have been a customer for 8 years with no suspicious activity on the account.",Synchrony,CO,Savings Account
10001287,2023-03-20,Discover Savings,,Withdrawal limit,Cannot access funds,"My Discover Savings with Chase was accessed by someone who changed my contact information and attempted to transfer $100 out of my account. When I reported this, Chase took 5 weeks to investigate and temporarily restricted my access. I am concerned about the security of their online banking platform and how this person gained access.",Chase,CO,Savings Account
10001337,2025-12-01,Ally Savings,,Unauthorized access,Security breach,"I opened a Ally Savings with Ally Bank because they advertised a 24.6% APY. After three months, the rate was quietly dropped to 6.1% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $1500 into this account specifically for the higher rate.",Ally Bank,VA,Savings Account
10002024,2023-07-25,PayPal,,Account frozen,Frozen without warning,I sent $250 via PayPal through PayPal to pay my landlord. The money was deducted from my account but never received by the recipient. It has been 8 weeks and PayPal has not been able to locate the funds or provide a refund. I am now at risk of eviction because my rent appears unpaid.,PayPal,CA,Money Transfer
10002023,2025-12-09,Venmo,,Account frozen,Frozen without warning,I accidentally sent $500 to the wrong person through Venmo via Western Union. I realized the error within 58 minutes and immediately contacted them to cancel. They said the transaction was already completed and they cannot reverse it. They suggested I 'ask the recipient nicely' to send it back. This is an unacceptable response for such a large amount.,Western Union,AZ,Money Transfer
10001407,2024-07-08,Marcus Savings,,Account fees,Unexpected maintenance fees,"My Marcus Savings with Ally Bank was accessed by someone who changed my contact information and attempted to transfer $500 out of my account. When I reported this, Ally Bank took 8 weeks to investigate and temporarily restricted my access. I am concerned about the security of their online banking platform and how this person gained access.",Ally Bank,TX,Savings Account
10001577,2024-02-11,Synchrony Savings,,Unauthorized access,Security breach,I tried to withdraw $50 from my Synchrony Savings at Ally Bank and was told my account was frozen pending a security review. No one informed me of any issues beforehand. I had bills due and no access to my own money for 3 weeks. The customer service was unhelpful and could not tell me when the review would be completed.,Ally Bank,CO,Savings Account
10000472,2024-09-21,Amex Gold,,Late fee,Payment made on time,"Discover charged me a $75 late fee on my Amex Gold card even though I made my payment on time. My bank records show the payment was initiated 7 days before the due date. When I called to dispute, they said the payment was received one day late due to processing time. This is unacceptable — I should not be penalized for their slow processing system.",Discover,OR,Credit Card
10001413,2024-02-01,Discover Savings,,Poor customer service,Long wait times,"I have been trying to reach Discover's customer service about an issue with my Discover Savings for 1 weeks. Wait times exceed 32 minutes, and I have been disconnected 10 times after waiting. When I finally got through, the representative could not resolve my issue and told me to call back. This level of service is completely unacceptable for a bank holding my savings.",Discover,KY,Savings Account
10000209,2023-09-21,Capital One Venture,,Billing dispute,Charges not recognized,"Someone made 3 fraudulent purchases on my Capital One Venture card totaling $5000. I reported this to Citibank immediately and they opened an investigation. After 8 weeks, they denied my fraud claim saying the transactions appeared legitimate. I have filed a police report and have evidence that I was in a different state when these transactions occurred.",Citibank,CA,Credit Card
10001243,2023-11-21,Synchrony Savings,,Poor customer service,Long wait times,"Discover charged me a $45 monthly maintenance fee on my Synchrony Savings that was supposed to be free. When I called to dispute, they said I did not maintain the minimum balance of $2500, even though my statements show I was always above that threshold. I want all fees refunded and a guarantee this will not happen again.",Discover,KY,Savings Account
10000508,2024-08-18,Chase Sapphire,,Credit limit reduction,Reduced without notice,"Someone made 2 fraudulent purchases on my Chase Sapphire card totaling $5000. I reported this to American Express immediately and they opened an investigation. After 8 weeks, they denied my fraud claim saying the transactions appeared legitimate. I have filed a police report and have evidence that I was in a different state when these transactions occurred.",American Express,MO,Credit Card
10002038,2024-06-23,Zelle,,Wrong recipient,Sent to wrong person,I sent $150 via Zelle through Venmo to pay my landlord. The money was deducted from my account but never received by the recipient. It has been 2 weeks and Venmo has not been able to locate the funds or provide a refund. I am now at risk of eviction because my rent appears unpaid.,Venmo,OR,Money Transfer
10000283,2024-03-20,Amex Gold,,Credit limit reduction,Reduced without notice,"Someone made 3 fraudulent purchases on my Amex Gold card totaling $5000. I reported this to Discover immediately and they opened an investigation. After 8 weeks, they denied my fraud claim saying the transactions appeared legitimate. I have filed a police report and have evidence that I was in a different state when these transactions occurred.",Discover,GA,Credit Card
10000820,2024-03-12,Amex Gold,,Credit limit reduction,,,Discover,TX,Credit Card
